pr_n_t,secret_bps,snr
1,0.08,67.53144390734627
1,0.15,64.82166822244628
1,0.21,63.323967793664096
1,0.32,61.520853004716656
1,0.39,60.64868058940027
1,0.48,59.72332453247011
1,0.51,59.445409141746296
1,0.66,58.38963490186554
1,0.99,57.28245784266258
2,0.08,63.91525153844706
2,0.15,61.14418760380554
2,0.21,59.6829420340543
2,0.32,57.8672575754004
2,0.39,57.01979549634954
2,0.48,56.111509762277045
2,0.51,55.820030986398685
2,0.66,54.707047877842236
2,0.99,52.94501410909111
3,0.08,60.7769093342683
3,0.15,57.88015191273092
3,0.21,56.45750370121754
3,0.32,54.4978204721309
3,0.39,53.62923434542559
3,0.48,52.8162901621244
3,0.51,52.52574462659355
3,0.66,51.3135150094142
3,0.99,49.666999132429915
4,0.08,58.853678844884925
4,0.15,56.139612120468925
4,0.21,54.78221483185992
4,0.32,52.78703832390619
4,0.39,51.85820212889
4,0.48,51.14530921072719
4,0.51,50.81404508122177
4,0.66,49.55205781823045
4,0.99,47.847691808155965
